order_id,delivery_partner_id,promised_time,actual_time,delivery_time_minutes,distance_km,delivery_status,reasons_if_delayed
9073572548,28575,5/2/2023 23:25,5/2/2023 23:47,22,4.77,Significantly Delayed,Traffic
8395583761,84816,8/4/2024 23:53,8/4/2024 23:48,-5,3.53,On Time,
6355378227,23910,8/11/2023 17:06,8/11/2023 17:05,-1,3.91,On Time,
277376321,78589,7/28/2024 4:45,7/28/2024 4:44,-1,3.85,On Time,
8559748526,93002,4/5/2023 18:27,4/5/2023 18:28,1,0.94,On Time,Traffic
1458051433,61040,4/26/2024 9:30,4/26/2024 9:26,-4,2.75,On Time,
5838302640,30907,5/12/2023 6:02,5/12/2023 6:09,7,1.7,Slightly Delayed,Traffic
1380971977,52614,6/2/2024 13:21,6/2/2024 13:16,-5,4.09,On Time,
1221099013,60689,7/23/2023 11:01,7/23/2023 11:03,2,3.15,On Time,Traffic
6771166303,98179,7/24/2023 4:36,7/24/2023 4:48,12,2.55,Slightly Delayed,Traffic
7111337755,84833,5/6/2023 6:07,5/6/2023 6:04,-3,3.44,On Time,
5562922993,73904,12/6/2023 2:14,12/6/2023 2:17,3,1.64,On Time,Traffic
5630957897,14408,6/18/2024 7:32,6/18/2024 7:36,4,3.92,On Time,Traffic
1787380558,95835,11/8/2023 17:43,11/8/2023 17:45,2,2.8,On Time,Traffic
32613017,77303,3/17/2023 0:36,3/17/2023 0:36,0,4,On Time,
2039041670,31963,11/1/2024 10:05,11/1/2024 10:20,15,2.12,Slightly Delayed,Traffic
210693801,14789,8/21/2024 4:10,8/21/2024 4:12,2,2.5,On Time,Traffic
8120002258,61526,1/1/2024 0:15,1/1/2024 0:11,-4,2.43,On Time,
2177917034,75636,2/8/2024 20:16,2/8/2024 20:25,9,0.73,Slightly Delayed,Traffic
4254814926,1761,4/21/2024 6:34,4/21/2024 6:33,-1,1.74,On Time,
6074172790,3481,7/26/2023 2:26,7/26/2023 2:30,4,2.48,On Time,Traffic
3381573131,50582,7/16/2024 0:47,7/16/2024 0:42,-5,4.91,On Time,
3773745777,97135,5/2/2024 14:58,5/2/2024 14:58,0,3.31,On Time,
9251939156,57095,12/30/2023 12:51,12/30/2023 12:58,7,2.35,Slightly Delayed,Traffic
3872982303,60234,2/3/2024 1:24,2/3/2024 1:25,1,2.6,On Time,Traffic
2625987757,51273,8/1/2023 7:54,8/1/2023 7:56,2,4.7,On Time,Traffic
3162249401,47552,5/3/2024 13:31,5/3/2024 13:31,0,1.72,On Time,
3108986741,60867,10/17/2023 19:43,10/17/2023 19:44,1,2.09,On Time,Traffic
1851474741,12879,11/1/2023 13:42,11/1/2023 13:51,9,4.09,Slightly Delayed,Traffic
2425099132,44245,8/15/2023 1:30,8/15/2023 1:34,4,1.07,On Time,Traffic
6706793332,76503,10/9/2024 22:04,10/9/2024 22:16,12,2.99,Slightly Delayed,Traffic
2149289255,25251,11/1/2024 15:20,11/1/2024 15:39,19,2.56,Significantly Delayed,Traffic
1971008155,30330,10/23/2023 22:43,10/23/2023 22:39,-4,0.86,On Time,
2087093460,27478,7/11/2024 11:42,7/11/2024 11:41,-1,0.77,On Time,
2116712588,34078,11/11/2023 20:48,11/11/2023 20:51,3,4.26,On Time,Traffic
6054358790,52564,1/26/2024 10:31,1/26/2024 10:26,-5,3.96,On Time,
532660797,97547,5/20/2024 6:37,5/20/2024 6:51,14,4.9,Slightly Delayed,Traffic
1491991005,85285,3/4/2024 9:01,3/4/2024 9:01,0,0.89,On Time,
4136019599,34667,3/23/2024 18:52,3/23/2024 18:55,3,4.58,On Time,Traffic
2122832513,39396,2/17/2024 19:58,2/17/2024 20:18,20,3.97,Significantly Delayed,Traffic
3717703595,8041,4/24/2023 21:52,4/24/2023 21:51,-1,2.48,On Time,
3194733693,16623,7/5/2023 10:30,7/5/2023 10:37,7,1.74,Slightly Delayed,Traffic
4471162437,54708,2/6/2024 12:52,2/6/2024 12:52,0,3.78,On Time,
1609331948,58721,1/4/2024 14:19,1/4/2024 14:19,0,1.56,On Time,
6920030794,38745,6/24/2024 2:51,6/24/2024 2:49,-2,3.47,On Time,
5127172657,80034,6/11/2024 18:30,6/11/2024 18:50,20,4.41,Significantly Delayed,Traffic
8607115856,85718,10/9/2023 4:52,10/9/2023 4:49,-3,2.33,On Time,
7154957395,63099,4/9/2023 10:21,4/9/2023 10:21,0,2.28,On Time,
2070762702,64950,10/4/2023 10:37,10/4/2023 10:52,15,3.61,Slightly Delayed,Traffic
3697242439,67408,10/15/2024 12:47,10/15/2024 12:46,-1,4.71,On Time,
3063427913,24100,9/21/2023 2:34,9/21/2023 2:37,3,4.76,On Time,Traffic
2060061337,50748,4/15/2023 23:10,4/15/2023 23:22,12,3.08,Slightly Delayed,Traffic
4625892678,40337,6/18/2023 19:35,6/18/2023 19:39,4,2.74,On Time,Traffic
6045698170,16848,1/24/2024 17:14,1/24/2024 17:19,5,3.86,On Time,Traffic
7876289647,28786,8/7/2024 8:06,8/7/2024 8:18,12,2.54,Slightly Delayed,Traffic
3434084714,58201,2/2/2024 3:06,2/2/2024 3:04,-2,3.51,On Time,
9031695663,43200,1/17/2024 1:35,1/17/2024 1:41,6,3.71,Slightly Delayed,Traffic
1955989715,8135,12/27/2023 7:06,12/27/2023 7:08,2,4.81,On Time,Traffic
3459500455,20504,12/18/2023 0:52,12/18/2023 0:54,2,2.66,On Time,Traffic
5953376503,34929,5/25/2024 4:08,5/25/2024 4:24,16,0.56,Significantly Delayed,Traffic
121874867,69733,3/28/2023 1:10,3/28/2023 1:05,-5,3.08,On Time,
2460545397,50527,10/27/2024 11:38,10/27/2024 11:49,11,2.53,Slightly Delayed,Traffic
9690050839,76868,1/13/2024 2:44,1/13/2024 2:49,5,3.82,On Time,Traffic
2574349065,406,4/17/2024 14:43,4/17/2024 14:44,1,1.72,On Time,Traffic
2461936988,77590,7/20/2023 23:29,7/20/2023 23:48,19,4.4,Significantly Delayed,Traffic
6447596416,45656,10/8/2023 18:30,10/8/2023 18:26,-4,4.27,On Time,
7228452275,96211,5/13/2023 1:25,5/13/2023 1:25,0,4.62,On Time,
6696750742,89976,4/2/2023 17:54,4/2/2023 17:54,0,4.39,On Time,
822235931,1773,8/9/2023 7:27,8/9/2023 7:42,15,1.42,Slightly Delayed,Traffic
7678251499,60822,4/23/2023 13:37,4/23/2023 13:42,5,1.85,On Time,Traffic
2497341976,42711,9/21/2023 9:19,9/21/2023 9:20,1,1.33,On Time,Traffic
9107314128,21125,5/20/2024 16:37,5/20/2024 16:36,-1,2.2,On Time,
9855726256,59743,5/17/2023 8:05,5/17/2023 8:03,-2,0.96,On Time,
9398719862,4852,7/19/2024 9:40,7/19/2024 9:44,4,0.85,On Time,Traffic
379494532,99227,7/7/2024 13:42,7/7/2024 13:44,2,3.39,On Time,Traffic
1048784963,35552,9/7/2023 13:35,9/7/2023 13:30,-5,2.18,On Time,
4386246924,56384,8/27/2024 10:26,8/27/2024 10:52,26,3.44,Significantly Delayed,Traffic
2050362692,16076,10/30/2024 11:36,10/30/2024 11:39,3,3.48,On Time,Traffic
4142963293,74308,11/3/2024 4:04,11/3/2024 4:07,3,1.26,On Time,Traffic
9753528654,63454,7/26/2024 7:35,7/26/2024 7:33,-2,1.84,On Time,
8126970833,83636,9/14/2024 20:41,9/14/2024 21:07,26,1.13,Significantly Delayed,Traffic
9747814712,33342,12/16/2023 15:52,12/16/2023 15:55,3,1.23,On Time,Traffic
6281619403,12086,4/9/2023 19:15,4/9/2023 19:10,-5,4.51,On Time,
436184281,59936,11/20/2023 12:55,11/20/2023 13:22,27,0.74,Significantly Delayed,Traffic
9799231260,58378,3/7/2024 9:17,3/7/2024 9:21,4,0.9,On Time,Traffic
4071811527,27993,7/26/2023 15:51,7/26/2023 16:00,9,2.39,Slightly Delayed,Traffic
5645359563,45180,8/8/2024 23:45,8/8/2024 23:40,-5,4.78,On Time,
9411813703,32773,9/25/2023 23:11,9/25/2023 23:16,5,0.65,On Time,Traffic
4270217473,4904,2/1/2024 9:02,2/1/2024 9:02,0,1.23,On Time,
279851011,73623,4/11/2023 9:58,4/11/2023 9:57,-1,4.34,On Time,
6260524887,22883,6/1/2024 7:00,6/1/2024 6:56,-4,3.76,On Time,
5853998391,23606,9/8/2023 2:58,9/8/2023 2:55,-3,4.67,On Time,
9931976872,97297,6/24/2024 5:32,6/24/2024 5:28,-4,3.03,On Time,
8432209832,18907,3/20/2024 3:42,3/20/2024 3:54,12,4.17,Slightly Delayed,Traffic
6023721507,72197,4/7/2024 0:36,4/7/2024 0:35,-1,2.05,On Time,
3042338919,70995,5/17/2023 15:05,5/17/2023 15:02,-3,1.33,On Time,
233646065,56968,9/19/2023 22:43,9/19/2023 22:48,5,4.89,On Time,Traffic
9870610018,44706,2/8/2024 5:36,2/8/2024 5:35,-1,0.86,On Time,
1398230967,92744,4/22/2024 10:13,4/22/2024 10:09,-4,4.81,On Time,
8615488922,1328,11/4/2023 0:21,11/4/2023 0:42,21,3.94,Significantly Delayed,Traffic
2748841057,11008,12/30/2023 5:19,12/30/2023 5:43,24,0.84,Significantly Delayed,Traffic
1375867721,21511,7/15/2024 17:08,7/15/2024 17:05,-3,4.45,On Time,
8595141097,19332,3/31/2024 10:36,3/31/2024 10:39,3,4.33,On Time,Traffic
4673382071,97477,1/16/2024 13:40,1/16/2024 13:49,9,4.9,Slightly Delayed,Traffic
2948696008,89164,4/10/2024 10:22,4/10/2024 10:19,-3,2.28,On Time,
6839692624,44627,11/19/2023 2:10,11/19/2023 2:35,25,1.17,Significantly Delayed,Traffic
5770951298,4946,10/2/2023 18:23,10/2/2023 18:21,-2,0.95,On Time,
5084771819,66403,8/29/2024 22:05,8/29/2024 22:18,13,1.37,Slightly Delayed,Traffic
422403644,23782,5/27/2023 23:46,5/27/2023 23:54,8,0.56,Slightly Delayed,Traffic
7176758896,75492,7/13/2023 13:00,7/13/2023 13:01,1,2.94,On Time,Traffic
8252905093,40596,4/21/2024 23:29,4/21/2024 23:30,1,3.25,On Time,Traffic
1488561572,31495,8/27/2024 8:32,8/27/2024 8:31,-1,2.51,On Time,
6212984517,15665,3/16/2024 22:05,3/16/2024 22:03,-2,1.27,On Time,
6309784337,23009,5/6/2024 17:53,5/6/2024 17:53,0,4.05,On Time,
4613890018,82638,10/24/2023 13:00,10/24/2023 13:00,0,3.82,On Time,
3429728472,77476,3/31/2023 8:48,3/31/2023 8:57,9,1.25,Slightly Delayed,Traffic
267738904,73022,10/24/2023 23:24,10/24/2023 23:38,14,4.28,Slightly Delayed,Traffic
3850416839,32659,7/1/2024 2:23,7/1/2024 2:36,13,1.32,Slightly Delayed,Traffic
3412702479,35140,12/24/2023 7:46,12/24/2023 7:51,5,1.11,On Time,Traffic
2016183232,38755,7/19/2023 4:35,7/19/2023 4:46,11,1.63,Slightly Delayed,Traffic
3810280204,70290,10/26/2023 18:06,10/26/2023 18:10,4,0.75,On Time,Traffic
2416767295,28144,7/5/2024 3:50,7/5/2024 3:59,9,1.13,Slightly Delayed,Traffic
2283439407,58922,7/14/2023 2:28,7/14/2023 2:32,4,0.57,On Time,Traffic
4328802292,66985,6/14/2023 19:57,6/14/2023 20:15,18,3.65,Significantly Delayed,Traffic
7072715691,82046,12/25/2023 19:28,12/25/2023 19:29,1,3.65,On Time,Traffic
5640741373,20090,5/10/2024 6:57,5/10/2024 6:57,0,4.34,On Time,
6931094066,66225,11/15/2023 22:18,11/15/2023 22:14,-4,3.82,On Time,
3417088709,63738,5/30/2024 17:37,5/30/2024 17:58,21,1.29,Significantly Delayed,Traffic
4424404315,8506,7/16/2023 7:36,7/16/2023 7:40,4,2.43,On Time,Traffic
2444087306,75692,7/28/2023 8:35,7/28/2023 8:37,2,4.67,On Time,Traffic
486085268,90390,12/11/2023 19:51,12/11/2023 19:56,5,0.53,On Time,Traffic
1731312620,75316,5/8/2023 20:42,5/8/2023 20:41,-1,2.13,On Time,
6475582506,52304,9/23/2023 5:01,9/23/2023 5:05,4,2.09,On Time,Traffic
1868581378,38861,3/29/2024 18:43,3/29/2024 18:47,4,3.94,On Time,Traffic
8884235937,81977,8/9/2024 12:01,8/9/2024 12:09,8,4.57,Slightly Delayed,Traffic
4590662628,18200,1/10/2024 12:02,1/10/2024 12:17,15,2.1,Slightly Delayed,Traffic
992302540,12863,11/26/2023 21:51,11/26/2023 21:54,3,3.48,On Time,Traffic
7169974633,69861,10/16/2024 16:22,10/16/2024 16:21,-1,2.57,On Time,
6703651257,4285,1/17/2024 1:43,1/17/2024 1:46,3,2.43,On Time,Traffic
7180810221,59848,9/10/2023 16:58,9/10/2023 17:07,9,0.51,Slightly Delayed,Traffic
7875587578,40025,7/15/2024 8:59,7/15/2024 9:09,10,3.53,Slightly Delayed,Traffic
2578671497,64618,1/25/2024 0:16,1/25/2024 0:21,5,0.79,On Time,Traffic
6284350691,9053,6/20/2024 1:13,6/20/2024 1:13,0,4.5,On Time,
5383261788,94840,10/18/2023 21:34,10/18/2023 21:30,-4,2.11,On Time,
6590867973,23582,11/20/2023 8:55,11/20/2023 8:54,-1,0.73,On Time,
8787105023,54795,5/7/2024 23:09,5/7/2024 23:12,3,3.68,On Time,Traffic
1402916311,57649,4/23/2024 13:05,4/23/2024 13:09,4,2.72,On Time,Traffic
9715205272,21783,10/21/2024 22:09,10/21/2024 22:11,2,4.93,On Time,Traffic
3946852375,92389,7/4/2024 12:45,7/4/2024 12:45,0,4.04,On Time,
3367039425,72408,3/10/2024 3:58,3/10/2024 4:00,2,1.38,On Time,Traffic
687711388,44884,2/2/2024 10:28,2/2/2024 10:40,12,1.67,Slightly Delayed,Traffic
647012431,94183,6/16/2024 13:27,6/16/2024 13:45,18,0.92,Significantly Delayed,Traffic
7143278295,89680,2/13/2024 15:39,2/13/2024 15:35,-4,1.65,On Time,
9736844695,87624,4/9/2024 20:18,4/9/2024 20:13,-5,1.4,On Time,
5933289680,1722,12/7/2023 4:49,12/7/2023 5:09,20,2.24,Significantly Delayed,Traffic
9494303116,12071,7/21/2024 11:04,7/21/2024 11:09,5,3.87,On Time,Traffic
9337878102,15234,5/16/2023 4:09,5/16/2023 4:05,-4,0.63,On Time,
6872621077,42244,9/14/2023 18:29,9/14/2023 18:24,-5,3.42,On Time,
7330237253,18688,12/7/2023 12:38,12/7/2023 12:37,-1,3.63,On Time,
7942616242,76694,9/30/2023 8:27,9/30/2023 8:52,25,4.96,Significantly Delayed,Traffic
238520071,91088,2/20/2024 5:44,2/20/2024 5:47,3,1.92,On Time,Traffic
5812379362,68969,8/5/2023 11:05,8/5/2023 11:01,-4,4.52,On Time,
2616623847,43649,1/19/2024 19:22,1/19/2024 19:37,15,4.33,Slightly Delayed,Traffic
2040854480,11814,12/10/2023 0:22,12/10/2023 0:47,25,2.48,Significantly Delayed,Traffic
5456484560,32681,9/26/2024 2:10,9/26/2024 2:35,25,3.76,Significantly Delayed,Traffic
883309006,23074,4/9/2024 8:22,4/9/2024 8:30,8,3.46,Slightly Delayed,Traffic
6528341992,50910,1/29/2024 3:43,1/29/2024 3:54,11,2.7,Slightly Delayed,Traffic
3263203775,38308,9/28/2024 15:37,9/28/2024 15:36,-1,3.36,On Time,
3660010934,17404,1/31/2024 15:44,1/31/2024 15:49,5,2.74,On Time,Traffic
7944885043,16741,5/26/2024 8:31,5/26/2024 8:29,-2,2.23,On Time,
2506369831,62473,6/16/2023 13:22,6/16/2023 13:35,13,4.07,Slightly Delayed,Traffic
697061213,80729,3/25/2023 9:52,3/25/2023 9:55,3,1.48,On Time,Traffic
7079057004,16501,9/30/2023 9:10,9/30/2023 9:32,22,3.58,Significantly Delayed,Traffic
1556153632,45137,5/4/2024 8:54,5/4/2024 9:03,9,0.75,Slightly Delayed,Traffic
2161235338,96206,4/12/2024 15:12,4/12/2024 15:21,9,4.68,Slightly Delayed,Traffic
1247978468,30662,7/19/2024 2:13,7/19/2024 2:12,-1,1.56,On Time,
5437627061,39894,8/22/2024 2:15,8/22/2024 2:16,1,4.76,On Time,Traffic
9091960039,51540,2/11/2024 10:04,2/11/2024 10:04,0,2.76,On Time,
619198317,83654,11/20/2023 17:16,11/20/2023 17:11,-5,4.77,On Time,
9833179291,97223,5/4/2023 18:52,5/4/2023 18:48,-4,0.59,On Time,
4148760273,55805,5/22/2024 1:55,5/22/2024 1:58,3,4.35,On Time,Traffic
7206041763,1128,5/30/2023 19:35,5/30/2023 19:37,2,2.69,On Time,Traffic
690097648,92460,12/27/2023 20:30,12/27/2023 20:40,10,1.87,Slightly Delayed,Traffic
4197061567,48139,2/4/2024 3:31,2/4/2024 3:33,2,0.66,On Time,Traffic
2009394836,71878,10/24/2023 22:25,10/24/2023 22:23,-2,3.18,On Time,
277502363,18055,12/28/2023 14:04,12/28/2023 14:09,5,4.14,On Time,Traffic
4356959622,94308,1/16/2024 7:56,1/16/2024 7:51,-5,3.45,On Time,
174306009,35598,8/9/2024 0:35,8/9/2024 1:02,27,1.41,Significantly Delayed,Traffic
9582674091,16055,8/16/2024 11:39,8/16/2024 12:01,22,3.55,Significantly Delayed,Traffic
8675579025,13158,7/6/2024 12:15,7/6/2024 12:17,2,3.41,On Time,Traffic
5195999941,12987,7/19/2024 19:07,7/19/2024 19:21,14,2.34,Slightly Delayed,Traffic
5210007923,94672,10/1/2024 5:24,10/1/2024 5:25,1,2.16,On Time,Traffic
6595771960,72175,4/5/2023 3:36,4/5/2023 3:40,4,1.75,On Time,Traffic
4247338382,85815,12/5/2023 2:11,12/5/2023 2:40,29,4.26,Significantly Delayed,Traffic
819143326,73801,1/10/2024 19:34,1/10/2024 19:39,5,4.37,On Time,Traffic
3830844750,95930,8/6/2023 16:07,8/6/2023 16:04,-3,4.35,On Time,
1687314172,86120,3/13/2024 19:00,3/13/2024 19:03,3,3.7,On Time,Traffic
6756007265,48609,7/27/2023 18:37,7/27/2023 18:42,5,4.05,On Time,Traffic
489762747,93825,9/27/2024 16:52,9/27/2024 17:18,26,3.26,Significantly Delayed,Traffic
7509195875,96839,11/26/2023 20:11,11/26/2023 20:14,3,4.89,On Time,Traffic
2370917070,13883,7/25/2023 6:11,7/25/2023 6:16,5,2.92,On Time,Traffic
2055388266,80608,6/23/2023 6:41,6/23/2023 6:49,8,1.43,Slightly Delayed,Traffic
8969304162,67811,10/12/2023 15:03,10/12/2023 15:02,-1,1.66,On Time,
5412674107,15617,10/6/2024 22:00,10/6/2024 22:02,2,1.75,On Time,Traffic
1536516619,44378,11/25/2023 8:10,11/25/2023 8:15,5,2.48,On Time,Traffic
3858907413,29907,7/27/2023 18:45,7/27/2023 18:45,0,4.53,On Time,
4976389251,89142,9/5/2023 10:13,9/5/2023 10:08,-5,1.42,On Time,
2218319201,957,11/1/2024 3:12,11/1/2024 3:11,-1,3.58,On Time,
6729422433,99898,7/19/2023 13:55,7/19/2023 14:01,6,2.81,Slightly Delayed,Traffic
1354097448,10089,6/21/2023 17:53,6/21/2023 17:55,2,1.71,On Time,Traffic
8952275304,95373,8/31/2024 8:22,8/31/2024 8:22,0,1.27,On Time,
436603801,64535,12/28/2023 10:14,12/28/2023 10:11,-3,3.24,On Time,
5273875984,60888,5/31/2023 3:45,5/31/2023 3:59,14,0.98,Slightly Delayed,Traffic
9290203003,44829,4/1/2024 12:31,4/1/2024 12:36,5,1.9,On Time,Traffic
6240982373,16774,4/26/2023 3:27,4/26/2023 3:24,-3,0.97,On Time,
2718348206,66580,11/8/2023 10:37,11/8/2023 10:33,-4,2.16,On Time,
4903544026,7486,5/11/2024 4:45,5/11/2024 4:50,5,4.24,On Time,Traffic
2827266949,24708,9/17/2024 8:10,9/17/2024 8:18,8,0.86,Slightly Delayed,Traffic
4278423074,23667,12/17/2023 5:02,12/17/2023 5:05,3,1.71,On Time,Traffic
645916247,98927,10/10/2023 3:03,10/10/2023 3:32,29,3.22,Significantly Delayed,Traffic
5816647866,84702,9/26/2024 5:23,9/26/2024 5:40,17,1.15,Significantly Delayed,Traffic
7282397914,26008,7/14/2024 1:35,7/14/2024 1:40,5,2.19,On Time,Traffic
3260611473,28392,2/6/2024 13:54,2/6/2024 14:12,18,2.73,Significantly Delayed,Traffic
8638163868,29019,6/7/2023 3:41,6/7/2023 3:46,5,1.66,On Time,Traffic
177850987,61247,11/7/2023 14:25,11/7/2023 14:22,-3,2.9,On Time,
9653859166,72058,3/16/2023 19:36,3/16/2023 19:50,14,0.95,Slightly Delayed,Traffic
9991338690,50037,7/29/2024 11:45,7/29/2024 11:46,1,2.15,On Time,Traffic
1714593246,11180,10/20/2024 10:02,10/20/2024 10:04,2,1.89,On Time,Traffic
9742461226,16877,1/1/2024 0:43,1/1/2024 0:40,-3,1.16,On Time,
3314393477,37197,10/26/2024 13:49,10/26/2024 13:52,3,4.51,On Time,Traffic
4188317986,48031,3/20/2023 1:56,3/20/2023 2:06,10,2.74,Slightly Delayed,Traffic
1646665366,59753,7/26/2024 19:01,7/26/2024 19:13,12,3.22,Slightly Delayed,Traffic
9558804585,32740,3/15/2024 12:09,3/15/2024 12:15,6,1.81,Slightly Delayed,Traffic
9047652469,27774,8/5/2024 3:28,8/5/2024 3:23,-5,3.21,On Time,
2893800377,54327,3/22/2024 11:57,3/22/2024 11:53,-4,4.56,On Time,
6139157985,23927,2/3/2024 13:51,2/3/2024 14:13,22,1.17,Significantly Delayed,Traffic
6029394789,28593,4/30/2023 6:23,4/30/2023 6:32,9,2.43,Slightly Delayed,Traffic
5874940276,22218,4/11/2024 6:45,4/11/2024 6:40,-5,1.62,On Time,
5205211911,38835,9/27/2024 18:52,9/27/2024 19:06,14,0.86,Slightly Delayed,Traffic
5314758068,68342,2/3/2024 0:36,2/3/2024 0:46,10,2.53,Slightly Delayed,Traffic
484869710,41598,9/9/2023 12:05,9/9/2023 12:08,3,4.8,On Time,Traffic
9957728938,64839,8/5/2024 21:43,8/5/2024 21:59,16,4.11,Significantly Delayed,Traffic
3136056666,60976,4/29/2024 3:40,4/29/2024 3:52,12,2.35,Slightly Delayed,Traffic
4926104391,13060,10/24/2023 8:02,10/24/2023 8:16,14,3.91,Slightly Delayed,Traffic
1827844756,78517,4/7/2023 11:43,4/7/2023 11:46,3,1.67,On Time,Traffic
7032037874,59618,6/13/2024 19:17,6/13/2024 19:17,0,2.75,On Time,
3779230503,52785,7/11/2023 5:30,7/11/2023 5:29,-1,2.32,On Time,
3473012553,99684,2/16/2024 21:48,2/16/2024 22:14,26,3.48,Significantly Delayed,Traffic
7988504487,86506,5/14/2024 11:42,5/14/2024 11:41,-1,1.73,On Time,
7193792738,91241,6/5/2024 15:49,6/5/2024 15:53,4,2.36,On Time,Traffic
1533583386,40902,8/28/2023 20:27,8/28/2023 20:24,-3,4.03,On Time,
7750989397,42583,1/7/2024 1:20,1/7/2024 1:24,4,2.23,On Time,Traffic
4434816229,17469,9/14/2023 7:10,9/14/2023 7:05,-5,4.05,On Time,
6896732047,29664,4/18/2024 18:08,4/18/2024 18:06,-2,4.18,On Time,
4740837071,70,11/1/2023 15:42,11/1/2023 15:47,5,4.31,On Time,Traffic
6649631729,9599,9/30/2024 9:39,9/30/2024 9:38,-1,0.86,On Time,
5351526726,18337,3/28/2023 19:08,3/28/2023 19:04,-4,2.79,On Time,
1506082041,80462,5/4/2023 8:00,5/4/2023 7:57,-3,1.04,On Time,
1023260165,93967,2/16/2024 19:23,2/16/2024 19:23,0,3.36,On Time,
8257032403,71946,9/18/2024 21:34,9/18/2024 21:37,3,2.03,On Time,Traffic
7216524192,79713,9/1/2024 16:33,9/1/2024 16:30,-3,3.33,On Time,
8619795820,68794,9/4/2024 9:30,9/4/2024 9:51,21,4.22,Significantly Delayed,Traffic
6494708839,36208,6/18/2023 16:18,6/18/2023 16:19,1,4.68,On Time,Traffic
9859249765,19900,5/13/2024 14:10,5/13/2024 14:07,-3,4.49,On Time,
3528020011,32566,11/12/2023 12:01,11/12/2023 12:04,3,2.96,On Time,Traffic
5937934264,41221,9/11/2024 19:35,9/11/2024 19:50,15,1.83,Slightly Delayed,Traffic
2976477423,2591,8/17/2023 7:47,8/17/2023 7:47,0,2.26,On Time,
1002438039,52508,2/17/2024 3:44,2/17/2024 3:43,-1,1.4,On Time,
2571163022,59402,2/6/2024 22:20,2/6/2024 22:34,14,4.14,Slightly Delayed,Traffic
6850221497,43013,7/21/2024 22:52,7/21/2024 22:47,-5,3.02,On Time,
4706569127,74560,7/27/2023 18:51,7/27/2023 18:56,5,4.56,On Time,Traffic
8168261752,18998,4/22/2024 6:30,4/22/2024 6:53,23,2.24,Significantly Delayed,Traffic
5828325906,34564,12/4/2023 11:59,12/4/2023 11:57,-2,4.29,On Time,
5012271549,31783,9/21/2024 10:19,9/21/2024 10:47,28,2.59,Significantly Delayed,Traffic
8110316958,29001,1/30/2024 19:48,1/30/2024 19:45,-3,1.73,On Time,
3190808443,42099,1/10/2024 9:00,1/10/2024 8:56,-4,0.54,On Time,
